GHSA ID,CVE ID,Severity,Package,Ecosystem,Summary,KEV
GHSA-59r9-6jp6-jcm7,CVE-2021-41249,HIGH,graphql-playground-react,npm,XSS vulnerability in GraphQL Playground from untrusted schemas,
GHSA-j4mv-2rv7-v2j9,CVE-2021-22966,HIGH,concrete5/core,Packagist,Improper Privilege Management in Concrete CMS ,
GHSA-35m5-8cvj-8783,CVE-2021-39182,HIGH,enrocrypt,PyPI,Improper hashing in enrocrypt,
GHSA-x4r7-m2q9-69c8,CVE-2021-41248,HIGH,graphiql,npm,GraphiQL introspection schema template injection attack,
GHSA-hf79-8hjp-rrvq,CVE-2021-43790,HIGH,lucet-runtime,crates.io,Use After Free in lucet,
GHSA-qg54-694p-wgpp,CVE-2021-41817,HIGH,date,RubyGems,Regular expression denial of service vulnerability (ReDoS) in date,
GHSA-3pqh-p72c-fj85,CVE-2021-3978,HIGH,github.com/cloudflare/cfrpki,Go,Improper Preservation of Permissions in github.com/cloudflare/cfrpki/cmd/octorpki,
GHSA-j86v-p27c-73fm,CVE-2021-41201,HIGH,tensorflow,PyPI,Unitialized access in `EinsumHelper::ParseEquation`,
GHSA-5xp3-jfq3-5q8x,CVE-2021-3572,HIGH,pip,PyPI,Improper Input Validation in pip,
GHSA-4f99-p9c2-3j8x,CVE-2021-41219,HIGH,tensorflow,PyPI,Undefined behavior via `nullptr` reference binding in sparse matrix multiplication,
GHSA-hgc3-hp6x-wpgx,CVE-2021-3840,HIGH,antilles-tools,PyPI,Antilles Dependency Confusion Vulnerability,
GHSA-35rf-v2jv-gfg7,CVE-2021-41254,HIGH,github.com/fluxcd/kustomize-controller,Go,Privilege escalation to cluster admin on multi-tenant environments,
GHSA-jcjx-c3j3-44pr,,HIGH,@cyyynthia/tokenize,npm,Insufficient Session Expiration in @cyyynthia/tokenize,
GHSA-w2f4-hxpm-mq98,CVE-2021-3915,HIGH,ssddanbrown/bookstack,Packagist,bookstack is vulnerable to Unrestricted Upload of File with Dangerous Type,
GHSA-cqh2-vc2f-q4fh,CVE-2021-3907,HIGH,github.com/cloudflare/cfrpki,Go,Arbitrary filepath traversal via URI injection ,
GHSA-f5f7-6478-qm6p,CVE-2021-25741,HIGH,k8s.io/kubernetes,Go,Files or Directories Accessible to External Parties in kubernetes,
GHSA-ppq7-88c7-q879,CVE-2021-25976,HIGH,Piranha,NuGet,Cross-Site Request Forgery in PiranhaCMS,
GHSA-gx3f-hq7p-8fxv,CVE-2021-22053,HIGH,org.springframework.cloud:spring-cloud-netflix-hystrix-dashboard,Maven,Code injection in spring-cloud-netflix-hystrix-dashboard,
GHSA-v542-8q9x-cffc,CVE-2020-35681,HIGH,channels,PyPI,Django Channels leakage of session identifiers using legacy AsgiHandler,
GHSA-vx3p-948g-6vhq,CVE-2021-27290,HIGH,ssri,npm,Regular Expression Denial of Service (ReDoS),
GHSA-g2fg-mr77-6vrm,CVE-2020-13949,HIGH,org.apache.thrift:libthrift,Maven,Uncontrolled Resource Consumption in Apache Thrift,
GHSA-9735-p6r2-2hgh,CVE-2019-0911,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-mpvw-25mg-59vx,CVE-2020-28463,HIGH,reportlab,PyPI,Server-side Request Forgery (SSRF) via img tags in reportlab,
GHSA-p493-635q-r6gr,CVE-2021-21353,HIGH,pug,npm,Remote code execution via the `pretty` option.,
GHSA-8hc4-xxm3-5ppp,CVE-2021-22880,HIGH,activerecord,RubyGems,Active Record subject to Regular Expression Denial-of-Service (ReDoS),
GHSA-prxj-c66c-4gcf,CVE-2019-0924,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-59cj-99cw-rq64,CVE-2019-0913,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-p43w-g3c5-g5mq,CVE-2021-25293,HIGH,Pillow,PyPI,Out of bounds read in Pillow,
GHSA-jpcm-4485-69p7,CVE-2021-21361,HIGH,com.bmuschko:gradle-vagrant-plugin,Maven,Sensitive information disclosure via log in com.bmuschko:gradle-vagrant-plugin,
GHSA-cqff-fx2x-p86v,,HIGH,botframework-connector,PyPI,botframework-connector vulnerable to Improper Authentication,
GHSA-rx34-jff5-ph35,CVE-2019-0917,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-qwwr-qc2p-6283,CVE-2018-14550,HIGH,libpng,NuGet,Out-of-bounds write in libpng,
GHSA-hfm2-fffh-v47v,CVE-2019-1196,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write in ChakraCore,
GHSA-hfwx-c7q6-g54c,,HIGH,highcharts-export-server,npm,Vulnerability allowing for reading internal HTTP resources,
GHSA-7423-5qfm-g648,CVE-2019-0916,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-vw2g-5827-m9fp,CVE-2019-1308,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-7r28-3m3f-r2pr,CVE-2021-28092,HIGH,is-svg,npm,Regular Expression Denial of Service (ReDoS),
GHSA-9824-rp6m-xx9w,CVE-2019-0989,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-7vwg-39h8-8qp8,,HIGH,ezsystems/ezplatform-rest,Packagist,/user/sessions endpoint allows detecting valid accounts,
GHSA-w89r-qch4-8jv5,CVE-2019-0912,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-h6wf-hvwc-fm77,CVE-2019-0914,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-9qw8-ccq9-ffj9,CVE-2019-1139,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write in Microsoft.ChakraCore,
GHSA-ppxc-pmx9-qjv9,CVE-2019-1195,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write in Microsoft.ChakraCore,
GHSA-fm9p-5m9f-rq85,CVE-2019-0915,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-3vg7-jw9m-pc3f,CVE-2021-21357,HIGH,typo3/cms-form,Packagist,Broken Access Control in Form Framework,
GHSA-f2rp-38vg-j3gh,CVE-2021-21384,HIGH,shescape,npm,Null characters not escaped,
GHSA-mg98-x2cm-4cpf,CVE-2019-1106,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-mw7r-3g6w-85qg,CVE-2019-1131,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write in Microsoft.ChakraCore,
GHSA-vmf5-924f-25f2,CVE-2019-1103,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-5wqj-f379-6jh4,CVE-2020-28426,HIGH,kill-process-on-port,npm,Command injection in kill-process-on-port,
GHSA-p23j-g745-8449,CVE-2019-1335,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-c4w7-xm78-47vh,CVE-2020-7774,HIGH,y18n,npm,Prototype Pollution in y18n,
GHSA-vxhx-gmhm-623c,CVE-2020-25698,HIGH,moodle/moodle,Packagist,Improper Access Control in moodle,
GHSA-h77r-rp97-7rv4,CVE-2020-25699,HIGH,moodle/moodle,Packagist,Privilage Escalation in moodle,
GHSA-qxx8-292g-2w66,,HIGH,Microsoft.Bot.Connector,NuGet,Improper Authentication,
GHSA-758c-g2ff-9444,CVE-2019-1140,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write in Microsoft.ChakraCore,
GHSA-w32p-76xr-88pc,CVE-2019-1003,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-cwp9-956f-vcwh,CVE-2019-1141,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write in Microsoft.ChakraCore,
GHSA-79rg-7mv3-jrr5,CVE-2021-21380,HIGH,org.xwiki.platform:xwiki-platform-ratings-api,Maven,Rating Script Service expose XWiki to SQL injection,
GHSA-95q3-8gr9-gm8w,CVE-2021-27923,HIGH,pillow,PyPI,Pillow Denial of Service by Uncontrolled Resource Consumption,
GHSA-m6gj-h9gm-gw44,CVE-2020-24583,HIGH,Django,PyPI,Django Incorrect Default Permissions,
GHSA-537h-rv9q-vvph,CVE-2020-13757,HIGH,rsa,PyPI,Python-RSA decryption of ciphertext leads to DoS,
GHSA-xfhp-gmh8-r8v2,CVE-2021-23354,HIGH,printf,npm,printf vulnerable to Regular Expression Denial of Service (ReDoS),
GHSA-2p3x-qw9c-25hh,CVE-2021-21341,HIGH,com.thoughtworks.xstream:xstream,Maven,XStream can cause a Denial of Service.,
GHSA-57f3-gghm-9mhc,CVE-2021-23353,HIGH,jspdf,npm,jspdf vulnerable to Regular Expression Denial of Service (ReDoS),
GHSA-mrvj-7q4f-5p42,,HIGH,ezsystems/ezpublish-kernel,Packagist,Cross-site scripting in eZ Platform Kernel,
GHSA-mvg9-xffr-p774,CVE-2021-25291,HIGH,pillow,PyPI,Out of bounds read in Pillow,
GHSA-w5hr-jm4j-9jvq,CVE-2021-26119,HIGH,smarty/smarty,Packagist,Sandbox escape through template_object in smarty,
GHSA-jgwr-3qm3-26f3,CVE-2021-25329,HIGH,org.apache.tomcat.embed:tomcat-embed-core,Maven,Potential remote code execution in Apache Tomcat,
GHSA-p75f-g7gx-2r7p,CVE-2021-21336,HIGH,Products.PluggableAuthService,PyPI,Exposure of Sensitive Information to an Unauthorized Actor in Products.PluggableAuthService ZODBRoleManager,
GHSA-w36g-q975-37rg,CVE-2021-26814,HIGH,wazuh,npm,Improper Input Validation (RCE),
GHSA-fq6p-x6j3-cmmq,CVE-2020-28496,HIGH,three,npm,Denial of service in three,
GHSA-pcgf-qjx2-qv4q,CVE-2019-1217,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-h23m-w6x5-jwr4,CVE-2019-0923,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-8xjq-8fcg-g5hw,CVE-2021-25290,HIGH,pillow,PyPI,Out-of-bounds Write in Pillow,
GHSA-53r4-h27g-rg3x,CVE-2019-0992,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-37pf-w9ff-gqvm,CVE-2019-0927,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-2x75-mf24-588m,CVE-2019-1092,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-f5g8-5qq7-938w,CVE-2020-35653,HIGH,pillow,PyPI,Pillow Out-of-bounds Read,
GHSA-gfp2-w5jm-955q,CVE-2021-21376,HIGH,omero-web,PyPI,OMERO.web exposes some unnecessary session information in the page,
GHSA-pq64-v7f5-gqh8,CVE-2021-27291,HIGH,Pygments,PyPI,Pygments vulnerable to Regular Expression Denial of Service (ReDoS),
GHSA-q99r-j969-6jwr,CVE-2019-1237,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-p6j9-7xhc-rhwp,CVE-2021-27516,HIGH,urijs,npm,URIjs Hostname spoofing via backslashes in URL,
GHSA-h4hr-7fg3-h35w,CVE-2021-23341,HIGH,prismjs,npm,Denial of service in prismjs,
GHSA-6973-94v8-5mgw,CVE-2019-0991,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-hrmm-f4j8-8vxc,CVE-2019-0922,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-2r6j-862c-m2v2,CVE-2021-21355,HIGH,typo3/cms-form,Packagist,Unrestricted File Upload in Form Framework,
GHSA-grvw-q343-58wh,CVE-2019-1300,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-2rfj-2mwp-787v,CVE-2019-0993,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-6j89-jhpr-849f,CVE-2019-1307,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-753c-phhg-cj29,CVE-2021-23352,HIGH,madge,npm,Madge vulnerable to command injection,
GHSA-3wvg-mj6g-m9cv,CVE-2021-27922,HIGH,pillow,PyPI,Pillow Uncontrolled Resource Consumption,
GHSA-gmrf-99gw-vvwj,,HIGH,ezsystems/ezpublish-kernel,Packagist,/user/sessions endpoint allows detecting valid accounts,
GHSA-52p9-v744-mwjj,CVE-2021-28834,HIGH,kramdown,RubyGems,Remote code execution in Kramdown,
GHSA-v89p-5hr2-4rh4,CVE-2019-1197,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write ,
GHSA-pwpr-vp2v-99xw,CVE-2019-1138,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-rh4p-g7x6-8pqg,CVE-2019-1062,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-f38p-c2gq-4pmr,CVE-2021-21267,HIGH,schema-inspector,npm,Regular Expression Denial-of-Service in npm schema-inspector,
GHSA-2wwc-w2gw-4329,CVE-2019-1366,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-2452-3rwv-x89c,CVE-2019-1298,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-5rq8-3wvf-wrfg,CVE-2019-0933,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-5rcr-q3rx-j7vr,CVE-2019-1107,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-f4w8-cv6p-x6r5,CVE-2021-27921,HIGH,Pillow,PyPI,Pillow Denial of Service by Uncontrolled Resource Consumption,
GHSA-v648-p92f-9996,CVE-2019-0925,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-vqcj-wrf2-7v73,CVE-2020-35654,HIGH,pillow,PyPI,Pillow Out-of-bounds Write,
GHSA-8gvg-8vhf-h26g,CVE-2019-0937,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds write,
GHSA-3cj3-jrrp-9rxf,CVE-2021-26958,HIGH,xcb,crates.io,Unchecked Return Value in xcb,
GHSA-xh55-2fqp-p775,CVE-2021-37708,HIGH,shopware/platform,Packagist,Command injection in mail agent settings,
GHSA-vq23-5h4f-vwpv,CVE-2020-36212,HIGH,abi_stable,crates.io,Update unsound DrainFilter and RString::retain,
GHSA-g5w6-mrj7-75h2,CVE-2021-39141,HIGH,com.thoughtworks.xstream:xstream,Maven,XStream is vulnerable to an Arbitrary Code Execution attack,
GHSA-2jfv-g3fh-xq3v,CVE-2020-35875,HIGH,tokio-rustls,crates.io,Excessive memory usage in tokio-rustls,
GHSA-cmhx-cq75-c4mj,CVE-2019-0820,HIGH,System.Text.RegularExpressions,NuGet,Regular Expression Denial of Service in System.Text.RegularExpressions,
GHSA-hq5m-mqmx-fw6m,CVE-2021-37627,HIGH,contao/core-bundle,Packagist,Privilege escalation via form generator,
GHSA-62jx-8vmh-4mcw,CVE-2021-38511,HIGH,tar,crates.io,Links in archive can create arbitrary directories,
GHSA-r626-fc64-3q28,CVE-2020-36441,HIGH,abox,crates.io,Data race in abox,
GHSA-m72m-mhq2-9p6c,CVE-2021-37714,HIGH,org.jsoup:jsoup,Maven,Uncaught Exception in jsoup,
GHSA-5q2r-92f9-4m49,CVE-2020-15093,HIGH,tough,crates.io,Improper verification of signature threshold in tough,
GHSA-mxr5-mc97-63rc,CVE-2021-32648,HIGH,october/system,Packagist,Account Takeover in Octobercms,
GHSA-cgfm-62j4-v4rf,CVE-2021-37635,HIGH,tensorflow,PyPI,Heap out of bounds access in sparse reduction operations,
GHSA-j2r6-2m5c-vgh5,CVE-2019-25005,HIGH,chacha20,crates.io,Counter overflow in chacha20,
GHSA-g83m-67wh-whpw,CVE-2020-36449,HIGH,kekbit,crates.io,Command injection in kekbit,
GHSA-vcjj-9vg7-vf68,CVE-2021-37688,HIGH,tensorflow,PyPI,Null pointer dereference in TFLite,
GHSA-7qfm-6m33-rgg9,,HIGH,com.epam.reportportal:service-api,Maven,XML External Entity Reference,
GHSA-vqx7-pw4r-29rr,CVE-2020-35861,HIGH,bumpalo,crates.io,Out of bounds read in bumpalo,
GHSA-w9vv-q986-vj7x,CVE-2021-29934,HIGH,uu_od,crates.io,Out of bounds read in uu_od,
GHSA-435p-f82x-mxwm,CVE-2021-38305,HIGH,yamale,PyPI,Command injection in Yamale,
GHSA-ghpq-vjxw-ch5w,,HIGH,libpulse-binding,crates.io,Use after free in libpulse-binding,
GHSA-fg42-vwxx-xx5j,CVE-2020-36438,HIGH,tiny_future,crates.io,Data race in tiny_future,
GHSA-r4c4-5fpq-56wg,CVE-2021-37664,HIGH,tensorflow,PyPI,Heap OOB in boosted trees,
GHSA-w5cr-frph-hw7f,CVE-2021-31919,HIGH,rkyv,crates.io,Use of uninitialized buffer in rkyv,
GHSA-mm4m-qg48-f7wc,CVE-2020-13759,HIGH,vm-memory,crates.io,Improper Synchronization and Race Condition in vm-memory,
GHSA-3358-4f7f-p4j4,CVE-2020-36465,HIGH,generic-array,crates.io,Use after free in generic-array,
GHSA-p8q8-jfcv-g2h2,CVE-2021-32610,HIGH,pear/archive_tar,Packagist,Directory Traversal in Archive_Tar,
GHSA-q3g3-h9r4-prrc,CVE-2021-37659,HIGH,tensorflow,PyPI,Reference binding to nullptr and heap OOB in binary cwise ops,
GHSA-jh37-772x-4hpw,CVE-2021-31996,HIGH,algorithmica,crates.io,Double free in algorithmica,
GHSA-v666-6w97-pcwm,,HIGH,ckb,crates.io,Miner fails to get block template when a cell used as a cell dep has been destroyed.,
GHSA-8928-2fgm-6x9x,CVE-2021-38512,HIGH,actix-http,crates.io,HTTP Request Smuggling in actix-http,
GHSA-39wr-f4ff-xm6p,CVE-2019-25007,HIGH,streebog,crates.io,Incorrect implementation in streebog,
GHSA-4q4x-67hx-5mpg,CVE-2019-15545,HIGH,libp2p-core,crates.io,Failure to properly verify ed25519 signatures in libp2p-core,
GHSA-x7vr-c387-8w57,CVE-2020-25574,HIGH,http,crates.io,Integer Overflow/Infinite Loop in the http crate,
GHSA-p24j-h477-76q3,CVE-2021-36753,HIGH,bat,crates.io,Uncontrolled Search Path Element in sharkdp/bat,
GHSA-q948-x8rf-888m,CVE-2020-35865,HIGH,os_str_bytes,crates.io,os_str_bytes relies on undefined behavior of `char::from_u32_unchecked`,
GHSA-m7fm-4jfh-jrg6,CVE-2021-37652,HIGH,tensorflow,PyPI,Use after free in boosted trees creation,
GHSA-8hfj-xrj2-pm22,CVE-2021-3450,HIGH,openssl-src,crates.io,Certificate check bypass in openssl-src,
GHSA-vpw8-43wm-rxw5,CVE-2021-29929,HIGH,endian_trait,crates.io,Double free in endian_trait,
GHSA-qg24-8xj4-gj2h,CVE-2020-36433,HIGH,chunky,crates.io,Unaligned memory allocation in chunky,
GHSA-88cw-3m6x-49f7,CVE-2020-17054,HIGH,Microsoft.ChakraCore,NuGet,Out-of-bounds Write in ChakraCore,
GHSA-v3j6-xf77-8r9c,CVE-2020-35901,HIGH,actix-http,crates.io,Use-after-free in actix-http,
GHSA-wqxc-qrq4-w5v4,CVE-2020-36213,HIGH,abi_stable,crates.io,Update unsound DrainFilter and RString::retain,
GHSA-7qcc-g2m9-8533,CVE-2021-28307,HIGH,fltk,crates.io,Null pointer deference in fltk,
GHSA-cgmg-2v6m-fjg7,CVE-2020-36210,HIGH,autorand,crates.io,Free of uninitialized memory in autorand,
GHSA-qq89-hq3f-393p,CVE-2021-37712,HIGH,tar,npm,Arbitrary File Creation/Overwrite via insufficient symlink protection due to directory cache poisoning using symbolic links,
GHSA-352p-rhvq-7g78,CVE-2021-25904,HIGH,av-data,crates.io,Null pointer deference in av-data,
GHSA-pp74-39w2-v4w9,CVE-2021-31154,HIGH,pleaser,crates.io,Permissions bypass in pleaser,
GHSA-8jrj-525p-826v,CVE-2021-39145,HIGH,com.thoughtworks.xstream:xstream,Maven,XStream is vulnerable to an Arbitrary Code Execution attack,
GHSA-qgwf-r2jj-2ccv,CVE-2020-36464,HIGH,heapless,crates.io,Use after free in heapless,
GHSA-m94c-37g6-cjhc,CVE-2021-37695,HIGH,ckeditor4,npm,Fake objects feature vulnerability allowing to execute JavaScript code using malformed HTML.,
GHSA-gvvv-w559-2hg6,CVE-2020-36453,HIGH,scottqueue,crates.io,Data races in scottqueue,
GHSA-r67m-m8c7-jp83,CVE-2021-39173,HIGH,cachethq/cachet,Packagist,Cachet vulnerable to forced reinstall,
GHSA-9j8q-m9x5-9g6j,CVE-2020-36444,HIGH,async-coap,crates.io,Data races in async-coap,
GHSA-v7q4-97x4-4qw2,CVE-2021-28030,HIGH,truetype,crates.io, Use of Uninitialized Resource in truetype,
GHSA-96w3-p368-4h8c,CVE-2020-35874,HIGH,internment,crates.io,Use after free in internment,
GHSA-mxv6-q98x-h958,CVE-2020-36460,HIGH,model,crates.io,Data races in model,
GHSA-h5q8-5697-9p9h,CVE-2020-22403,HIGH,express-cart,npm,Cross-Site Request Forgery in express-cart,
GHSA-29v7-3v4c-gf38,CVE-2020-36454,HIGH,parc,crates.io,Data races in parc,
GHSA-wr55-mf5c-hhwm,CVE-2020-36209,HIGH,late-static,crates.io,Data races in late-static,
GHSA-vcw4-8ph6-7vw8,CVE-2021-29935,HIGH,rocket,crates.io,Use after free in Rocket,
GHSA-m57c-4vvx-gjgq,CVE-2019-15546,HIGH,pancurses,crates.io,Format string vulnerabilities in pancurses,
GHSA-rpxm-vmr7-5f5f,CVE-2020-36445,HIGH,convec,crates.io,Data races in convec,
GHSA-fqpx-cq8x-9wp4,CVE-2020-25796,HIGH,sized-chunks,crates.io,Unaligned references in sized-chunks,
GHSA-wf5p-c75w-w3wh,CVE-2021-37689,HIGH,tensorflow,PyPI,Null pointer dereference in TFLite MLIR optimizations,
GHSA-3h87-v52r-p9rg,CVE-2021-29941,HIGH,reorder,crates.io,Out of bounds write in reorder,
GHSA-gq4h-f254-7cw9,,HIGH,ticketed_lock,crates.io,Data races in ticketed_lock,
